path,current_dwt,inferred_language,confidence,target_template,page_type,notes
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Zevachim/Pirkei Masechet Zevachim.html,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechtot Seder Kodashim.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-text,
Mishnah-New/Hebrew/Text/Seder Kodashim/Seder Kodashim.html,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-text,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 7.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Masechet Shekalim Perek 8.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Maschet Shekalim/Pirkei Masechet Shekalim.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Chagigah/Masechet Chagigah Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Chagigah/Masechet Chagigah Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Chagigah/Masechet Chagigah Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Chagigah/Pirkei Masechet Chagigah.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Eruvin/Masechet Eruvin Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Eruvin/Masechet Eruvin Perek 10.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Eruvin/Masechet Eruvin Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Moed/Masechet Eruvin/Masechet Eruvin Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
